2017-09-15 13:56:31.804 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - Starting AccountFileScheduledApplication on admin-PC with PID 13212 (E:\workspace-test\AccountFile_Scheduled\target\classes started by admin in E:\workspace-test\AccountFile_Scheduled)
2017-09-15 13:56:31.805 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - The following profiles are active: dev
2017-09-15 13:56:31.854 logback [restartedMain] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@5fbe3212: startup date [Fri Sep 15 13:56:31 CST 2017]; root of context hierarchy
2017-09-15 13:56:33.745 logback [restartedMain] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-09-15 13:56:33.868 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 
2017-09-15 13:56:33.873 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService  'handleErrorExecutor'
2017-09-15 13:56:33.881 logback [restartedMain] INFO  o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService  'taskScheduler'
2017-09-15 13:56:34.075 logback [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2017-09-15 13:56:34.103 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2017-09-15 13:56:34.104 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2017-09-15 13:56:34.107 logback [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2017-09-15 13:56:34.132 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - Started AccountFileScheduledApplication in 2.701 seconds (JVM running for 3.129)
2017-09-15 13:56:34.132 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 定时任务开始，读取数据库获取数据-----
2017-09-15 13:56:34.349 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 读取支付数据成功，共0条
2017-09-15 13:56:34.386 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 读取退款数据成功，共0条
2017-09-15 13:56:34.387 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 项目绝对路径:E:\workspace-test\AccountFile_Scheduled
2017-09-15 13:56:34.387 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件夹绝对路径:/zhxs/data\20170914\
2017-09-15 13:56:34.387 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件绝对路径:E:\workspace-test\AccountFile_Scheduled\temp\20170914\
2017-09-15 13:56:34.387 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 文件名:20170914.txt
2017-09-15 13:56:34.394 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 写入数据到文件成功!
2017-09-15 13:56:34.394 logback [Scheduler_Task-1] INFO  com.zhx.task.UploadAccountFileTask - 开始上传文件20170914.txt到sftp服务器中的/zhxs/data\20170914\文件夹下
2017-09-15 13:56:34.406 logback [Scheduler_Task-1] INFO  com.zhx.utils.SFTPUtils - Session created.
2017-09-15 14:59:07.120 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - Starting AccountFileScheduledApplication on admin-PC with PID 13560 (E:\workspace-test\AccountFile_Scheduled\target\classes started by admin in E:\workspace-test\AccountFile_Scheduled)
2017-09-15 14:59:07.121 logback [restartedMain] INFO  c.z.AccountFileScheduledApplication - The following profiles are active: dev
